dim1,dim2
1.2365501,-18.310217
3.534894,-22.60389
5.3666434,-2.8400283
1.871168,-18.906796
10.175765,-13.331319
6.181726,-0.16261125
0.12804808,-18.330109
7.098529,1.590495
7.189915,-0.2855842
14.720467,8.920071
5.7649813,-2.7104287
11.83244,11.78694
1.0308626,-18.448391
3.764545,-22.67206
6.797954,-3.953535
10.059561,-1.4556642
9.417011,-1.6748838
2.5010517,-19.219881
8.339526,-3.6009343
12.1736965,11.614504
3.1959877,-23.420055
10.180266,-1.858641
12.147059,11.052845
4.3953376,1.7906674
10.971371,11.681645
1.5660545,-17.89197
7.2891164,-2.8214529
11.513762,13.289271
6.2533803,-0.0029123188
2.5136414,-22.809383
10.737114,-0.22856942
2.405272,-18.743912
6.725003,-1.0759857
9.062592,-1.1680704
6.3837194,-20.01839
8.114617,-2.187472
10.925747,-13.070022
5.502447,-0.56623423
0.32152984,-18.925203
11.383568,11.6927185
9.098353,-1.4809825
4.8869348,-22.191542
6.012962,-2.1277094
11.357493,11.713142
1.3168747,-22.463259
5.3952384,-22.524473
11.449471,10.787118
10.610839,-12.83336
10.184701,-13.070774
4.3689637,1.4910178
9.2113695,0.41237944
6.7493052,-2.725981
9.265367,0.55576515
2.9746342,-23.079458
1.4010963,-18.959223
6.834291,-2.8345814
1.3054626,-20.27383
8.023657,-3.9695184
1.0777589,-22.067642
5.9451594,1.3758572
0.8524188,-20.314898
8.673122,0.2873424
4.8651,-22.32964
11.028372,12.924896
10.975598,-12.888361
6.68358,-1.7878785
0.9795268,-20.981062
7.582962,-4.100193
5.9683685,-2.760569
4.127722,-19.680243
2.3603005,20.794943
11.555999,10.516728
5.132861,-22.656393
8.358302,-4.557205
0.010589639,-19.05333
9.081389,0.30909735
11.025396,-13.694353
11.393841,12.31655
2.047142,20.711327
6.4849906,-3.0621173
9.007695,-2.5835903
4.9613466,-22.696703
4.7338424,-22.126192
6.2495127,-3.276249
7.0494294,-0.9850707
5.553305,-2.6268656
10.876496,11.421958
4.3141994,2.2726445
9.937446,-1.0901151
2.516728,21.944117
12.166697,11.970081
6.9347253,-3.496038
10.888709,11.318297
1.9501377,-19.680132
7.8350697,-2.3069544
0.16637968,-20.3069
6.7261767,-3.4064236
10.779334,12.36059
3.8899672,-19.015589
10.283024,-3.075484
8.478264,-3.81029
8.514932,-3.928869
9.421663,1.2030176
0.95665747,-19.588558
9.331165,-1.6703172
9.730415,-1.7423444
12.08794,9.816456
0.90015084,-18.777046
1.8984121,21.420752
10.49623,-3.6955583
4.384778,2.160872
8.61759,0.7619473
9.238311,0.5594389
8.272143,1.0267073
10.792126,-1.9534363
9.158397,-4.2489567
0.7208446,-20.691715
8.951366,0.19989175
12.4594965,10.91999
4.2047434,-19.194277
2.114988,-20.054789
5.57767,0.67612547
14.291739,9.371921
1.690453,-18.838982
-0.21856353,-18.352276
9.561283,-0.8641498
8.907011,-1.384708
11.907039,9.633677
0.5529052,-19.389563
2.7905242,-18.690514
9.57524,-3.7469149
2.5221202,-18.395967
6.3201556,-3.249412
8.033648,-0.87721056
4.129773,-23.263151
10.401709,-3.4478183
14.337441,9.280464
-0.26656142,-20.540962
11.694235,9.681523
2.2408981,-19.618492
4.1209426,2.2329538
5.3194523,-1.2831229
5.848931,-0.44122565
4.182494,-21.91123
10.638901,0.76562726
8.484841,-1.6296223
10.739182,-2.0961022
8.332544,0.68056387
2.2312644,21.688221
12.307975,10.262289
5.3516498,-22.684282
9.11441,-0.12480935
5.296731,-22.184826
4.8219037,-22.989704
11.455997,10.63282
11.365212,-13.3953
3.620303,-23.109753
8.857129,-1.272301
8.080897,-4.774382
1.8362787,-21.278858
0.20344394,-18.182732
4.3548775,-19.125036
5.699231,-3.1378615
2.7601304,-18.977135
7.0941706,-2.5692468
1.9157374,-18.27577
8.129632,-0.46130547
9.235756,-2.0318666
9.107882,-2.6031709
5.6757708,0.9038381
2.8816953,-22.457947
9.736127,-2.7594943
2.6682966,-19.718315
5.458293,1.5464059
0.8861792,-19.034685
-0.13403232,-18.515533
6.746206,-2.7025962
8.7387905,-1.646939
6.5139766,-3.9446473
12.172822,11.035141
4.768202,-6.527951
11.570783,10.888405
5.4501357,0.16781744
7.216069,-3.2031825
11.294082,11.719533
9.748458,-1.3044796
3.430263,-21.62465
7.3727274,-1.2445476
-0.5089312,-19.804255
2.2202659,-18.26279
12.019904,9.519112
7.942665,-4.6066294
6.404144,-3.8200707
3.55667,-22.548704
8.53102,0.8324676
9.701794,0.44579172
9.890654,0.65072095
9.68694,-0.9383207
1.6912543,-19.993088
4.5634427,-18.808334
7.987745,-2.0196073
1.9343814,21.619255
3.1200376,-23.245142
4.904957,1.8852587
4.698252,-23.072945
1.5349816,-19.098019
11.71588,9.546672
8.421071,1.3840551
5.9366565,1.3439257
6.227385,-3.5997734
9.985621,0.11324376
10.712794,-12.779259
11.560026,13.275208
5.980843,1.4125637
3.1143405,-23.281137
7.0686054,-0.82797843
7.0526915,-3.4708023
10.896749,12.568668
2.5941403,-18.874414
0.35305166,-18.925373
9.242717,-2.5606015
6.421166,-2.1710336
11.74446,10.545934
1.6921186,-19.328041
11.724274,9.4290285
12.598967,11.273126
8.408842,-0.7922831
8.632474,-0.6307763
1.0516808,-20.507679
11.269198,9.985504
2.565809,21.077188
5.079766,-2.728212
2.452444,20.622551
6.830855,-4.1747174
7.4203515,-2.225146
9.20233,-3.5251808
11.604556,12.891723
9.273943,-0.8941931
8.732977,0.11888339
5.8561726,-0.61637896
9.671945,-3.7026286
4.4155264,-18.922293
10.620213,11.636746
1.5130492,-21.733486
5.738251,-3.1725533
3.296274,-20.369867
2.537113,-19.636
8.206791,-0.63254863
5.6195784,-0.9845823
1.4831927,-19.025146
-0.078034066,-18.256306
4.205975,-20.900452
2.7892852,-20.088804
4.8355107,-6.5464535
1.9076096,20.498148
1.7479417,-19.805223
6.714087,-3.4510791
7.9361396,0.095794156
8.618206,-0.031803142
10.443728,-3.4987013
6.1955204,1.732568
7.1083536,-1.2692432
9.033009,-0.88309085
2.476625,-20.429033
1.8997272,-21.471773
11.8197975,12.034949
5.254315,-22.145624
11.07102,12.345344
-0.51384556,-20.618904
10.401149,-13.308587
11.794881,10.059096
8.306343,-3.488203
7.19153,-0.85237306
8.09324,-1.5742012
1.3639783,-19.993446
1.9256209,-18.188051
8.896068,1.1432712
5.6767464,1.6392715
8.509179,-1.4599901
8.102138,-4.7157855
1.2667918,-22.150534
4.1902556,-18.72315
1.4701521,-20.687712
2.6049354,-19.465393
6.2393126,-4.083937
10.663656,0.5175346
14.495472,9.071126
9.287762,-2.3307135
1.3168509,-20.39084
9.19865,-2.792161
6.7988324,1.5456604
4.6747003,1.6745516
